name,description,price,price_per_unit,category
SIGNATURE BLEND SLIDERS,"GOURMET ANGUS BEEF

1.25 lB. Pkg.",11.99,,Fresh Meat & Deli
WHITE CLAW HARD SELTZER,"or Twisted Tea

12 Pk. 12 Oz. Btls. or Cans",19.99,,Beer
BUDWEISER BEER,"Miller Lite or Draft; Coors Light or Banquet; Bud Light or

12 Pk. 12 Oz. Btls. or Cans",14.99,,Grocery
LAGUNITAS BEER 6 Pk. 12 Oz. Btls. or Cans,"or Sierra Nevada; Hoppy Refresher (4 Pk. 12 Oz. Btls.), 12th Of Never (19.2 Oz. Btl.);",10.99,,Beer
STELLA ARTOIS BEER,"or Kona Big Wave

6 Pk. 11.2-12 Oz. Btls. or Cans",10.99,,Beer
DANISH STRIPS,"37th Street: Apple, Raspberry, Strawberry Cheese or Cheese

14 Oz. Pkg.",6.99,,Bakery
"8"" HERO ROLLS",Modern: Prepriced 16 Oz. Pkg.,3.99,,Bakery
SWISS MISS PUDDING,"Assorted Varieties

6 Pk. 4 Oz. Cups",7.00,,Bakery
TROPICANA REFRESHERS DRINKS,"Zero Sugar, Premium Lemonade or 46 Oz. Btl.",5.00,,Snacks & Beverage
TUSCAN HALF & HALF,1 Qt. Cntr.,3.99,,Snacks & Beverage
"DIGIORNO 12"" PIZZA","Thin Crust, Croissant, Hand Tossed or 16.9-29.3 Oz. Box",5.99,,Frozen
BIRDS EYE STEAMFRESH VEGETABLES,"or Quick Roaster, Baby, Rice

6-14.4 Oz. Pkg.",6.00,,Frozen
PEPPERIDGE FARM TEXAS TOAST 9.5-11.25 Oz. Box,5 Cheese or Mozzarella Garlic Bread (11.75 Oz. Pkg.); 5 Cheese or Garlic,3.99,,Bakery
"TROPICANA PURE PREMIUM ORANGE JUICE 6 Pk. 8 Oz. Cntrs, STARBUCKS ICED COFFEE 40-48 Oz. Btls.","w/Calcium or Original

Assorted Varieties",6.49,,Snacks & Beverage
KRASDALE AMERICAN SINGLES,12 Oz. Pkgs.,5.00,,Dairy
DANNON FRUIT ON THE BOTTOM YOGURT,"Natural Flavor Coffee; Light & Fit or
5.3 Oz. Cup",4.00,,Dairy
BLUE BONNET SPREAD,45 Oz. Cntr.,4.99,,Dairy
CALIFIA FARMS ICED COFFEE 1.5 Qt. Btl,or Assorted Varieties: Creamer (25.4 Oz.); Cold Brew,4.99,,Snacks & Beverage
THE GREEK GODS YOGURT,"Assorted Varieties
24 Oz. Cntr.",4.99,,Dairy
NATURE'S YOKE BUTTER,"Salted or Unsalted

8 Oz. Pkg.",4.99,,Dairy
